domain,support_seed,arm,variant,condition,temperature,count,macro_f1,balanced_accuracy,nll,brier,ece
noto-earthquake,0,frozen,raw,jpeg70,5.32145011959762,60,0.1728395061728395,0.3333333333333333,1.22143923181014,0.7399163575313658,0.22656828605374574
noto-earthquake,0,frozen,temperature,jpeg70,5.32145011959762,60,0.1728395061728395,0.3333333333333333,1.0906891879604208,0.6617082824083664,0.056955373504200546
noto-earthquake,0,lora1,raw,clean,4.477442277136681,60,0.2537577365163572,0.34126984126984133,1.1276584666905338,0.6864508619969888,0.11483357811312896
noto-earthquake,0,lora1,temperature,clean,4.477442277136681,60,0.2537577365163572,0.34126984126984133,1.0989916132647308,0.6669472096761597,0.03806901389273737
noto-earthquake,0,lora1,raw,gaussian4,4.477442277136681,60,0.27431716833890746,0.35714285714285715,1.1400108763379015,0.6957714749546162,0.10970134956270217
noto-earthquake,0,lora1,temperature,gaussian4,4.477442277136681,60,0.27431716833890746,0.35714285714285715,1.1002147587633566,0.6678498884058844,0.023982958148585365
noto-earthquake,0,lora1,raw,gaussian8,4.477442277136681,60,0.2740022950401632,0.35714285714285715,1.141700760074899,0.6971671082708488,0.09942977155522108
noto-earthquake,0,lora1,temperature,gaussian8,4.477442277136681,60,0.2740022950401632,0.35714285714285715,1.101524730450552,0.6687592306774555,0.021840015100369814
noto-earthquake,0,lora1,raw,jpeg40,4.477442277136681,60,0.21726190476190477,0.3068783068783069,1.1271088703340095,0.686233169306757,0.17171226469714435
noto-earthquake,0,lora1,temperature,jpeg40,4.477442277136681,60,0.21726190476190477,0.3068783068783069,1.0983773360164946,0.6665750160070129,0.07180244101962002
noto-earthquake,0,lora1,raw,jpeg70,4.477442277136681,60,0.27724867724867724,0.3571428571428572,1.1165126242507197,0.6792232833318199,0.09263818273187918
noto-earthquake,0,lora1,temperature,jpeg70,4.477442277136681,60,0.27724867724867724,0.3571428571428572,1.0967446345681149,0.6654732424830004,0.020237266640413143
noto-earthquake,0,lora4,raw,clean,4.477442277136681,60,0.3169431875314228,0.34920634920634913,1.180590627436723,0.7112875648991152,0.12105800434347479
noto-earthquake,0,lora4,temperature,clean,4.477442277136681,60,0.3169431875314228,0.34920634920634913,1.1025055641380574,0.6691271364223853,0.021192040346547945
noto-earthquake,0,lora4,raw,gaussian4,4.477442277136681,60,0.4110206883027748,0.4417989417989418,1.1399086533291287,0.6895780467338016,0.07281811136853257
noto-earthquake,0,lora4,temperature,gaussian4,4.477442277136681,60,0.4110206883027748,0.4417989417989418,1.0953670377915008,0.6646154472301293,0.09903600873839707
noto-earthquake,0,lora4,raw,gaussian8,4.477442277136681,60,0.40952073930797334,0.42328042328042326,1.1555113630213218,0.6946664507097686,0.14478630633208486
noto-earthquake,0,lora4,temperature,gaussian8,4.477442277136681,60,0.40952073930797334,0.42328042328042326,1.0982419358667999,0.6663546282235819,0.062124547322790866
noto-earthquake,0,lora4,raw,jpeg40,4.477442277136681,60,0.4089605734767025,0.4444444444444444,1.1486782579619499,0.6934703514380975,0.11270379243201345
noto-earthquake,0,lora4,temperature,jpeg40,4.477442277136681,60,0.4089605734767025,0.4444444444444444,1.0962005256271812,0.6650665225419001,0.06987858861115903
noto-earthquake,0,lora4,raw,jpeg70,4.477442277136681,60,0.36274509803921573,0.3783068783068783,1.146936190360146,0.691490420231945,0.08487899830199142
noto-earthquake,0,lora4,temperature,jpeg70,4.477442277136681,60,0.36274509803921573,0.3783068783068783,1.0964358545630242,0.6651505147588668,0.020310162778402086
noto-earthquake,0,aperture,raw,clean,5.32145011959762,60,0.3546576879910213,0.4047619047619047,1.0704769821361648,0.6477670636135104,0.08545031398094821
noto-earthquake,0,aperture,temperature,clean,5.32145011959762,60,0.3546576879910213,0.4047619047619047,1.0846053345814113,0.6572336930252882,0.0593829406062269
noto-earthquake,0,aperture,raw,gaussian4,5.32145011959762,60,0.42671092144776357,0.43121693121693117,1.0998155978854767,0.6689010819894107,0.05796076278747672
noto-earthquake,0,aperture,temperature,gaussian4,5.32145011959762,60,0.42671092144776357,0.43121693121693117,1.0938131522446863,0.6635473694313105,0.08365451391995021
noto-earthquake,0,aperture,raw,gaussian8,5.32145011959762,60,0.3719522591645354,0.3783068783068783,1.1109428499172653,0.6754393283892738,0.09700664928500427
noto-earthquake,0,aperture,temperature,gaussian8,5.32145011959762,60,0.3719522591645354,0.3783068783068783,1.0961460278151618,0.6650748247310273,0.034870912804707
noto-earthquake,0,aperture,raw,jpeg40,5.32145011959762,60,0.33764013764013767,0.3624338624338624,1.1034207484313114,0.6724621287825113,0.13743320389041627
noto-earthquake,0,aperture,temperature,jpeg40,5.32145011959762,60,0.33764013764013767,0.3624338624338624,1.0938414799390517,0.6635902109623423,0.015079848232134485
noto-earthquake,0,aperture,raw,jpeg70,5.32145011959762,60,0.2679793324954615,0.29365079365079366,1.113698641351515,0.6806643140683468,0.16376535681541707
noto-earthquake,0,aperture,temperature,jpeg70,5.32145011959762,60,0.2679793324954615,0.29365079365079366,1.0937591724502056,0.6635585375686595,0.054884083427507
turkey-earthquake,0,frozen,raw,clean,4.226978079673295,60,0.2633825944170772,0.32407407407407407,1.3442921069803453,0.7529938433927873,0.21781439436246158
turkey-earthquake,0,frozen,temperature,clean,4.226978079673295,60,0.2633825944170772,0.32407407407407407,1.1078905260496328,0.6707142733289629,0.03279736383313248
turkey-earthquake,0,frozen,raw,gaussian4,4.226978079673295,60,0.3074722182703403,0.35648148148148145,1.3261730832876066,0.7518757092836256,0.18731405343033922
turkey-earthquake,0,frozen,temperature,gaussian4,4.226978079673295,60,0.3074722182703403,0.35648148148148145,1.1044259065555522,0.6688340987439434,0.03017825580759359
turkey-earthquake,0,frozen,raw,gaussian8,4.226978079673295,60,0.31695853613661834,0.3703703703703704,1.2964213022273292,0.744312596489157,0.16466389810278806
turkey-earthquake,0,frozen,temperature,gaussian8,4.226978079673295,60,0.31695853613661834,0.3703703703703704,1.1001948466159084,0.6665231992394257,0.019254797473706165
