domain,support_seed,method,count,macro_f1,balanced_accuracy,nll,brier,ece
bridge_pick_place,1,LoRA-1pass + T,400,0.7996338396326741,0.8,1.7292560300048405,0.36396473154101266,0.16763854128448966
bridge_pick_place,1,LoRA-4passes,400,0.8120432831343584,0.8125,2.1898409636201395,0.36058112930409764,0.17786279294528315
bridge_pick_place,1,LoRA-4passes + T,400,0.8120432831343584,0.8125,1.3971872404259633,0.3506874263013905,0.16718914132809845
bridge_pick_place,1,Aperture,400,0.5116861878709281,0.51,1.1219770596678995,0.6082161392871179,0.05372936074473068
bridge_pick_place,1,Aperture + T,400,0.5116861878709281,0.51,1.117194157971325,0.6059044078138398,0.04888099918662556
bridge_pick_place,1,LoRA-selected,400,0.8120432831343584,0.8125,2.1898409636201395,0.36058112930409764,0.17786279294528315
bridge_pick_place,1,LoRA-selected + T,400,0.7996338396326741,0.8,1.7292560300048405,0.36396473154101266,0.16763854128448966
bridge_pick_place,2,Frozen,400,0.23000187778191095,0.32,1.673655849195668,0.8656865125299809,0.31177284101347424
bridge_pick_place,2,Frozen + T,400,0.23000187778191095,0.32,1.3401084860508843,0.727307249619464,0.08616894334772465
bridge_pick_place,2,Frozen + all-support bias,400,0.4556118582430883,0.45999999999999996,1.239836324441156,0.6648920952386073,0.04356007794755698
bridge_pick_place,2,LoRA-1pass,400,0.7825569770935903,0.7825,0.9085581986943505,0.35838880163321235,0.15173876843269285
bridge_pick_place,2,LoRA-1pass + T,400,0.7825569770935903,0.7825,0.622345942066813,0.3187100871915379,0.07129147695428237
bridge_pick_place,2,LoRA-4passes,400,0.7537950282949513,0.7549999999999999,2.5358866089247143,0.4746741467071095,0.2377256008156869
bridge_pick_place,2,LoRA-4passes + T,400,0.7537950282949513,0.7549999999999999,0.7303002126347659,0.3792356767177269,0.11138698380321455
bridge_pick_place,2,Aperture,400,0.5391373799045656,0.5425,1.1136343874780583,0.6072009997340957,0.07925374821362553
bridge_pick_place,2,Aperture + T,400,0.5391373799045656,0.5425,1.1203174577161277,0.6116733794896645,0.08380938886460512
bridge_pick_place,2,LoRA-selected,400,0.7825569770935903,0.7825,0.9085581986943505,0.35838880163321235,0.15173876843269285
bridge_pick_place,2,LoRA-selected + T,400,0.7537950282949513,0.7549999999999999,0.7303002126347659,0.3792356767177269,0.11138698380321455
droid_pick_place,0,Frozen,400,0.15521707315978256,0.2725,1.9160285434795536,0.9548967770933904,0.37478983535985816
droid_pick_place,0,Frozen + T,400,0.15521707315978256,0.2725,1.4044636203660255,0.7575257646330606,0.07580876586010181
droid_pick_place,0,Frozen + all-support bias,400,0.31002957507113516,0.31,1.4834749341932465,0.7861291115391381,0.14053452686751644
droid_pick_place,0,LoRA-1pass,400,0.6319179084166836,0.6325,1.3264212789742564,0.5662135686906286,0.22559245497857597
droid_pick_place,0,LoRA-1pass + T,400,0.6319179084166836,0.6325,0.9047415203554062,0.48236061102052064,0.04041804564270089
droid_pick_place,0,LoRA-4passes,400,0.6765188891443844,0.6775,2.1368895422119243,0.5820444034334408,0.26832420584802746
droid_pick_place,0,LoRA-4passes + T,400,0.6765188891443844,0.6775,0.8495168052320811,0.4453656550525952,0.07491415384674865
droid_pick_place,0,Aperture,400,0.26763876416871407,0.325,1.359114847440312,0.7366243013456426,0.09607504140669264
droid_pick_place,0,Aperture + T,400,0.26763876416871407,0.325,1.3519727763571665,0.7325520813128853,0.03198530183115736
droid_pick_place,0,LoRA-selected,400,0.6319179084166836,0.6325,1.3264212789742564,0.5662135686906286,0.22559245497857597
droid_pick_place,0,LoRA-selected + T,400,0.6765188891443844,0.6775,0.8495168052320811,0.4453656550525952,0.07491415384674865
droid_pick_place,1,Frozen,400,0.15521707315978256,0.2725,1.9160285434795536,0.9548967770933904,0.37478983535985816
droid_pick_place,1,Frozen + T,400,0.15521707315978256,0.2725,1.3944712852706775,0.7530556683699668,0.05471086681701336
droid_pick_place,1,Frozen + all-support bias,400,0.32796131896940967,0.335,1.4867620530665238,0.7815552156305565,0.11586945685184684
droid_pick_place,1,LoRA-1pass,400,0.6841228070175438,0.685,0.8995082775748443,0.4546052329084413,0.14549930761596538
droid_pick_place,1,LoRA-1pass + T,400,0.6841228070175438,0.685,0.9395605483037311,0.49476539550811155,0.20408946206210837
droid_pick_place,1,LoRA-4passes,400,0.665911072498639,0.6775,4.342621253807748,0.6193371668859237,0.30387068043962956
droid_pick_place,1,LoRA-4passes + T,400,0.665911072498639,0.6775,0.9342374455958581,0.4854917659084235,0.11822480261042737
droid_pick_place,1,Aperture,400,0.3914187508272614,0.4225,1.3052745765747693,0.7080728285924361,0.07325906471064005
