domain,support_seed,comparison,selected_lora,macro_f1,balanced_accuracy,nll,brier,ece
droid_pick_place,2,Aperture-temperature minus LoRA-selected + T,lora4,-0.4444930215237439,-0.375,0.46736714615507535,0.2713796289114662,-0.13205554216921023
droid_arti,0,Aperture-raw minus LoRA-selected,lora1,-0.43859673762843754,-0.4075000000000001,0.6790793148879128,0.356141054860942,0.05240167425853531
droid_arti,0,Aperture-temperature minus LoRA-selected,lora1,-0.43859673762843754,-0.4075000000000001,0.7929632913636941,0.39529718977243117,0.11554243577417006
droid_arti,0,Aperture-raw minus LoRA-selected + T,lora1,-0.43859673762843754,-0.4075000000000001,0.6041389014231731,0.3394642075659537,0.007179470805919547
droid_arti,0,Aperture-temperature minus LoRA-selected + T,lora1,-0.43859673762843754,-0.4075000000000001,0.7180228778989544,0.37862034247744286,0.0703202323215543
droid_arti,1,Aperture-raw minus LoRA-selected,lora1,-0.40966597361058354,-0.3424999999999999,-0.179492307531407,0.18952987502303353,-0.15031961693669335
droid_arti,1,Aperture-temperature minus LoRA-selected,lora1,-0.40966597361058354,-0.3424999999999999,0.0534677088328801,0.2627250708483112,-0.04103486534195927
droid_arti,1,Aperture-raw minus LoRA-selected + T,lora1,-0.40966597361058354,-0.3424999999999999,0.16970452718454143,0.22343965284718226,-0.11764694418886415
droid_arti,1,Aperture-temperature minus LoRA-selected + T,lora1,-0.40966597361058354,-0.3424999999999999,0.4026645435488285,0.2966348486724599,-0.008362192594130069
droid_arti,2,Aperture-raw minus LoRA-selected,lora1,-0.43383175736679763,-0.34,0.5794859747717008,0.3088924009075883,0.12208791757544007
droid_arti,2,Aperture-temperature minus LoRA-selected,lora1,-0.43383175736679763,-0.34,0.4478249973387233,0.25180883178526026,0.010054694583646037
droid_arti,2,Aperture-raw minus LoRA-selected + T,lora4,-0.5624888534224779,-0.46749999999999997,0.7191346002454437,0.4120780707120508,0.08420279828271487
droid_arti,2,Aperture-temperature minus LoRA-selected + T,lora4,-0.5624888534224779,-0.46749999999999997,0.5874736228124662,0.3549945015897228,-0.027830424709079163
