domain,method,n_support_seeds,query_count_per_state,macro_f1_mean,macro_f1_sd,balanced_accuracy_mean,balanced_accuracy_sd,nll_mean,nll_sd,brier_mean,brier_sd,ece_mean,ece_sd
hospital_2,LoRA-1pass,3,300,0.41412050237661074,0.11114661549088917,0.5299999999999999,0.043333333333333404,0.7371117486670468,0.07667475603087831,0.5365144271281672,0.06204575415375229,0.1713866908481653,0.09203372013497799
hospital_2,LoRA-1pass + T,3,300,0.41412050237661074,0.11114661549088917,0.5299999999999999,0.043333333333333404,0.7199465774874039,0.00783327324660952,0.5211777005007932,0.011673532421437162,0.1606632203291129,0.02714317414418615
hospital_2,LoRA-4passes,3,300,0.642926201914966,0.07372035464623919,0.6588888888888889,0.05419443732558757,1.3259263613338268,0.5811905997354643,0.5781786396494347,0.1273910365900883,0.2603673352236123,0.07661220042756381
hospital_2,LoRA-4passes + T,3,300,0.642926201914966,0.07372035464623919,0.6588888888888889,0.05419443732558757,2.7455024494923244,1.4850523300858938,0.6232984898951716,0.12388537317788609,0.2959487372678981,0.07062133410137733
hospital_2,Aperture,3,300,0.6166319489890769,0.09293474016737334,0.64,0.05507570547286107,0.6075745649606675,0.019844359890510557,0.42274679964311535,0.018250428709126736,0.06227890622923014,0.03261555615852515
hospital_2,Aperture + T,3,300,0.6166319489890769,0.09293474016737334,0.64,0.05507570547286107,0.691883230777791,0.1281953985700487,0.4540253545601294,0.04086317585779721,0.12857445104340695,0.046995910679676164
hospital_2,LoRA-selected,3,300,0.642926201914966,0.07372035464623919,0.6588888888888889,0.05419443732558757,1.3259263613338268,0.5811905997354643,0.5781786396494347,0.1273910365900883,0.2603673352236123,0.07661220042756381
hospital_2,LoRA-selected + T,3,300,0.642926201914966,0.07372035464623919,0.6588888888888889,0.05419443732558757,2.7455024494923244,1.4850523300858938,0.6232984898951716,0.12388537317788609,0.2959487372678981,0.07062133410137733
bridge_pick_place,Frozen,3,400,0.23000187778191095,0.0,0.32,0.0,1.673655849195668,0.0,0.8656865125299809,0.0,0.31177284101347424,0.0
bridge_pick_place,Frozen + T,3,400,0.23000187778191095,0.0,0.32,0.0,1.342119679596113,0.007883835973661912,0.7282604308491597,0.004259538192645141,0.08687004556387012,0.03392288097606441
bridge_pick_place,Frozen + all-support bias,3,400,0.4482951570423466,0.006434604089566784,0.45083333333333336,0.008036375634160792,1.236318508544487,0.003090283237383634,0.663762423794088,0.0011441373238412068,0.049083901456438116,0.004789199076411327
bridge_pick_place,LoRA-1pass,3,400,0.7696752952290898,0.03807057326295753,0.77,0.03783186487605388,0.8579252912433056,0.20338699923610648,0.3650969790568143,0.0647820080648222,0.14314837123006272,0.05293066645592451
bridge_pick_place,LoRA-1pass + T,3,400,0.7696752952290898,0.03807057326295753,0.77,0.03783186487605388,1.0212888734278218,0.6147637469162519,0.3496292383795714,0.026800354362518715,0.10454228401593509,0.0546694830303138
bridge_pick_place,LoRA-4passes,3,400,0.7754290023887421,0.03188294196739332,0.7766666666666667,0.03125833222251847,2.0452837580013625,0.5766351708216516,0.4209531420902149,0.05733655977891673,0.20592501696726875,0.03010598681618212
bridge_pick_place,LoRA-4passes + T,3,400,0.7754290023887421,0.03188294196739332,0.7766666666666667,0.03125833222251847,0.9241490416927092,0.4118793574140581,0.35222048278917306,0.02628222111753931,0.12363081402687053,0.03890910550917274
bridge_pick_place,Aperture,3,400,0.501462103285207,0.04369386214227265,0.505,0.04023369234857768,1.1376837331874208,0.03468149136805299,0.6195399923479713,0.020498910364884156,0.06547408938193529,0.012883295175842678
bridge_pick_place,Aperture + T,3,400,0.501462103285207,0.04369386214227265,0.505,0.04023369234857768,1.1424759901170112,0.041114229794044964,0.6221083932223889,0.0232496766641106,0.05919767054669256,0.021406993647391376
bridge_pick_place,LoRA-selected,3,400,0.7738117763963178,0.043272033024572505,0.7741666666666666,0.04310839052125852,1.3765372948043364,0.7070064895811141,0.3839806646716077,0.04244195345974002,0.17361999158661978,0.02009854737920942
bridge_pick_place,LoRA-selected + T,3,400,0.7712925212215141,0.02476874178413465,0.7725,0.024109126902482462,1.0348386382190016,0.6028950053526748,0.35664625120238047,0.027003010315062827,0.12378061401233426,0.039160706352420624
droid_pick_place,Frozen,3,400,0.15521707315978256,0.0,0.2725,0.0,1.9160285434795536,0.0,0.9548967770933904,0.0,0.37478983535985816,0.0
droid_pick_place,Frozen + T,3,400,0.15521707315978256,0.0,0.2725,0.0,1.394419513770642,0.010070092157105628,0.753101236897281,0.004401920372108455,0.05613106484638263,0.019007436634795014
droid_pick_place,Frozen + all-support bias,3,400,0.32165102486101316,0.010076861654951216,0.325,0.013228756555322966,1.4852905446703142,0.0016703569388912451,0.7832996865497042,0.002472443112916496,0.13093776338658958,0.013211538792350846
droid_pick_place,LoRA-1pass,3,400,0.6548989609022094,0.026656466639631872,0.6558333333333333,0.026731691553909115,1.1103100579145857,0.21350601938009253,0.5158710348763401,0.05660029588601214,0.18233268477666184,0.04043144765219732
droid_pick_place,LoRA-1pass + T,3,400,0.6548989609022094,0.026656466639631872,0.6558333333333333,0.026731691553909115,0.9534019095660623,0.05685897278316959,0.5040693082641631,0.027564581509443072,0.14508828916782543,0.09089186513323053
droid_pick_place,LoRA-4passes,3,400,0.679068747154531,0.01460056095971788,0.6841666666666667,0.011547005383792525,2.5567262618587896,1.617374260453837,0.5625656664936384,0.06861677325100979,0.2556417693744843,0.05566446045913871
droid_pick_place,LoRA-4passes + T,3,400,0.679068747154531,0.01460056095971788,0.6841666666666667,0.011547005383792525,0.8949599771170864,0.04269553430725915,0.46682412927978684,0.020208111588658827,0.12490999802710008,0.05365173120629241
droid_pick_place,Aperture,3,400,0.30311359109760033,0.0769652799785592,0.3566666666666667,0.05702704036975207,1.348587715976958,0.03912653101340213,0.7298960379763816,0.019356903044752592,0.10066691987550876,0.02996880732726595
droid_pick_place,Aperture + T,3,400,0.30311359109760033,0.0769652799785592,0.3566666666666667,0.05702704036975207,1.345084786726396,0.027506636872108758,0.7290340448049455,0.014053790084974071,0.06230416253151875,0.03833280072608783
droid_pick_place,LoRA-selected,3,400,0.6548989609022094,0.026656466639631872,0.6558333333333333,0.026731691553909115,1.1103100579145857,0.21350601938009253,0.5158710348763401,0.05660029588601214,0.18233268477666184,0.04043144765219732
droid_pick_place,LoRA-selected + T,3,400,0.679068747154531,0.01460056095971788,0.6841666666666667,0.011547005383792525,0.8949599771170864,0.04269553430725915,0.46682412927978684,0.020208111588658827,0.12490999802710008,0.05365173120629241
droid_arti,Frozen,3,400,0.13438187621771752,0.0,0.26,0.0,1.9831956650737113,2.7194799110210365e-16,0.9818677613790946,1.3597399555105182e-16,0.3751877254800546,0.0
droid_arti,Frozen + T,3,400,0.13438187621771752,0.0,0.26,0.0,1.45055187284544,0.014304708314473506,0.7787579748912358,0.0063742774748478965,0.10832599663886848,0.014320353776595247
droid_arti,Frozen + all-support bias,3,400,0.27355965786676933,0.00536487142979644,0.2725,0.006614378277661461,1.5736626932361757,0.0029213148118435693,0.8190084264430745,0.0021451810942130817,0.16244929723727322,0.006800734039819219
droid_arti,LoRA-1pass,3,400,0.6504449327232008,0.05926212002799895,0.65,0.058255900988655254,1.1457658197923422,0.4644762060518433,0.5108106780855405,0.09019237516310176,0.14840987691441918,0.1084344043760957
droid_arti,LoRA-1pass + T,3,400,0.6504449327232008,0.05926212002799895,0.65,0.058255900988655254,1.0750534797537672,0.23022708156534002,0.5114252764776709,0.06731819075881952,0.16996568714455296,0.06167670211356759
droid_arti,LoRA-4passes,3,400,0.7457394846060676,0.03285153724152003,0.7466666666666666,0.03329164059239693,2.861779333461067,1.4415435402002599,0.47569003826724665,0.061889810196682424,0.22733703490081034,0.03223490071500925
droid_arti,LoRA-4passes + T,3,400,0.7457394846060676,0.03285153724152003,0.7466666666666666,0.03329164059239693,0.8204575281296552,0.16369932111121818,0.3998962777160628,0.06803146122364005,0.1186574402064351,0.04133298105297026
droid_arti,Aperture,3,400,0.22308010985459462,0.055478962041234196,0.2866666666666667,0.02268442931469366,1.5054568138350775,0.04184803042615895,0.7956651216827284,0.023802895122288083,0.15646653521351317,0.04653142960000402
droid_arti,Aperture + T,3,400,0.22308010985459462,0.055478962041234196,0.2866666666666667,0.02268442931469366,1.5771844856374413,0.1525565569475532,0.8140877088875413,0.048837926507758256,0.17659729858637144,0.0703529491363815
droid_arti,LoRA-selected,3,400,0.6504449327232008,0.05926212002799895,0.65,0.058255900988655254,1.1457658197923422,0.4644762060518433,0.5108106780855405,0.09019237516310176,0.14840987691441918,0.1084344043760957
droid_arti,LoRA-selected + T,3,400,0.6933306314084277,0.05058415982734645,0.6925,0.05250000000000004,1.007797470884025,0.2732677170164817,0.47067114464099946,0.08353768294887261,0.16522142691358974,0.06559358756642404
