domain,support_seed,arm,temperature,calibration_count,raw_calibration_nll,temperature_calibration_nll,selected_lora_raw,selected_lora_temperature
turkey-earthquake,1,lora1,1.8881217525718474,6,1.1135227519847508,1.0851933670506544,lora4,lora4
turkey-earthquake,1,lora4,1.4158915687682763,6,1.083636149663581,1.07484129919837,lora4,lora4
turkey-earthquake,1,aperture,0.632455532033676,6,0.9796608271727449,0.9614120638669047,lora4,lora4
turkey-earthquake,2,frozen,4.226978079673295,6,1.321219872158333,1.1141836436650647,lora4,lora4
turkey-earthquake,2,lora1,2.6670428643266484,6,1.1713731798462081,1.1087031773778115,lora4,lora4
turkey-earthquake,2,lora4,2.1185074503545787,6,1.1361421996936958,1.0866079088026575,lora4,lora4
turkey-earthquake,2,aperture,2.1185074503545787,6,1.1348593852963724,1.1049848030003675,lora4,lora4
hospital_2,0,frozen,0.2825075089245509,4,0.5506977871077932,0.41223008594482463,lora4,lora4
hospital_2,0,lora1,1.1246826503806984,4,0.5817551959706815,0.580115685279141,lora4,lora4
hospital_2,0,lora4,0.6699308783156555,4,0.009669747761761393,0.0011460247696825623,lora4,lora4
hospital_2,0,aperture,0.7962143411069947,4,0.4953948521905269,0.4904675414899085,lora4,lora4
hospital_2,1,frozen,0.26670428643266486,4,0.5865647886634329,0.46224880166117727,lora4,lora4
hospital_2,1,lora1,0.632455532033676,4,0.5519629429546165,0.538102474610662,lora4,lora4
hospital_2,1,lora4,0.6699308783156555,4,0.010269688456344314,0.0017375110094415883,lora4,lora4
hospital_2,1,aperture,0.532145011959762,4,0.5628538719056226,0.5338669136951268,lora4,lora4
hospital_2,2,frozen,1.0617688884619771,4,0.6590993162346793,0.6587916434220797,lora4,lora4
hospital_2,2,lora1,1.5886564694485632,4,0.6569064656343163,0.628608405897863,lora4,lora4
hospital_2,2,lora4,0.25178508235883346,4,0.09179373780440131,0.007621343700065991,lora4,lora4
hospital_2,2,aperture,0.2,4,0.446332113419557,0.09164135616389459,lora4,lora4
bridge_pick_place,0,frozen,2.5178508235883355,8,1.517179837191482,1.2996403036767539,lora1,lora4
bridge_pick_place,0,lora1,2.9924713121888673,8,1.5677533126584968,0.9588873793892144,lora1,lora4
bridge_pick_place,0,lora4,4.226978079673295,8,2.3417352918248056,0.8779322926676136,lora1,lora4
bridge_pick_place,0,aperture,1.3366878351372296,8,1.2571719974964655,1.2396234113971856,lora1,lora4
bridge_pick_place,1,frozen,4.477442277136681,8,1.8997928079755244,1.369695150695448,lora4,lora1
bridge_pick_place,1,lora1,0.2825075089245509,8,0.19173431998330515,0.09287489330557032,lora4,lora1
bridge_pick_place,1,lora4,1.5886564694485632,8,0.12246903222827998,0.11206782332056864,lora4,lora1
